X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
1,27.67,0.75,2,11,8,0.165,0,0,0,1,2,220,252,y0
0,16,0.165,2,6,4,1,0,1,2,1,2,320,2,y0
0,26.58,2.54,1,1,1,0,0,0,0,1,2,180,61,y0
1,51.83,3,1,1,1,1.5,0,0,0,0,2,180,5,y0
1,29.83,1.25,1,4,4,0.25,0,0,0,0,2,224,1,y0
1,20.67,5.29,2,11,4,0.375,1,1,1,0,2,160,1,y0
1,34.83,2.5,1,9,4,3,0,0,0,0,1,200,1,y0
1,31.08,3.085,2,8,4,2.5,0,1,2,1,2,160,42,y0
0,25.25,13.5,1,1,1,2,0,1,1,1,2,200,2,y0
0,24.58,0.67,2,6,8,1.75,1,0,0,0,2,400,1,y0
1,23.58,0.835,2,3,8,0.085,0,0,0,1,2,220,6,y0
1,34.08,2.5,2,8,4,1,0,0,0,0,2,460,17,y0
0,25.25,12.5,2,2,4,1,0,0,0,1,2,180,1063,y0
1,20.67,0.835,1,8,4,2,0,0,0,1,1,240,1,y0
1,31.57,0.5,2,8,5,0.835,1,0,0,1,1,320,1,y0
0,28.58,3.75,2,8,4,0.25,0,1,1,1,2,40,155,y0
0,36.58,0.29,2,1,1,0,0,1,10,0,2,200,19,y0
1,28.67,14.5,2,2,4,0.125,0,0,0,0,2,0,287,y0
1,32.83,2.5,2,13,8,2.75,1,1,6,0,2,160,2073,y1
1,39.08,6,2,7,4,1.29,1,1,5,1,2,108,1098,y1
1,34.92,2.5,2,9,4,0,1,0,0,1,2,239,201,y1
0,50.08,12.54,2,6,4,2.29,1,1,3,1,2,156,1,y1
1,42.5,4.915,1,9,4,3.165,1,0,0,1,2,52,1443,y1
0,46,4,2,5,3,0,1,0,0,0,2,100,961,y1
0,44.17,6.665,2,11,4,7.375,1,1,3,1,2,0,1,y1
1,39.58,13.915,2,9,4,8.625,1,1,6,1,2,70,1,y1
1,23.33,1.5,2,8,8,1.415,1,0,0,0,2,422,201,y1
0,22.5,8.46,1,14,4,2.46,0,0,0,0,2,164,1,y1
1,27,0.75,2,8,8,4.25,1,1,3,1,2,312,151,y1
1,30.17,0.5,2,8,4,1.75,1,1,11,0,2,32,541,y1
1,21,4.79,1,9,4,2.25,1,1,1,1,2,80,301,y1
1,20.5,2.415,2,8,4,2,1,1,11,1,2,200,3001,y1
1,48.58,6.5,2,11,8,6,1,0,0,1,2,350,1,y1
1,25.17,6,2,8,4,1,1,1,3,0,2,0,1,y1
1,38.58,3.335,2,9,4,4,1,1,14,0,2,383,1345,y1
1,41.42,5,2,11,8,5,1,1,6,1,2,470,1,y1
1,19.42,6.5,2,9,8,1.46,1,1,7,0,2,80,2955,y1
0,30.67,12,2,8,4,2,1,1,1,0,2,220,20,y1
1,29.67,1.415,2,9,8,0.75,1,1,1,0,2,240,101,y1
0,22.42,5.665,2,11,4,2.585,1,1,7,0,2,129,3258,y1
1,31.57,4,2,14,4,5,1,1,3,1,2,290,2280,y1
1,40.58,5,2,8,4,5,1,1,7,0,2,0,3066,y1
1,33.17,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,y1
1,39.92,6.21,2,11,4,0.04,1,1,1,0,2,200,301,y1
1,24.33,6.625,1,2,4,5.5,1,0,0,1,1,100,1,y1
0,27.42,14.5,2,14,8,3.085,1,1,1,0,2,120,12,y1
0,30.5,6.5,2,8,5,4,1,1,7,1,2,0,3066,y1
1,23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,285,y1
0,16.92,0.5,2,3,4,0.165,0,1,6,1,2,240,36,y0
0,51.92,6.5,2,3,5,3.085,0,0,0,1,2,73,1,y0
0,20.83,8.5,2,8,4,0.165,0,0,0,0,2,0,352,y0
1,22.17,2.25,2,3,4,0.125,0,0,0,0,2,160,11,y0
1,20.42,1.085,2,11,4,1.5,0,0,0,0,2,108,8,y0
1,39.42,1.71,1,7,4,0.165,0,0,0,0,1,400,1,y0
1,47.17,5.835,2,9,4,5.5,0,0,0,0,2,465,151,y0
0,57.58,2,2,1,1,6.5,0,1,1,0,2,0,11,y0
1,28.75,1.5,1,8,4,1.5,1,0,0,1,2,0,226,y0
1,41.17,1.25,1,9,4,0.25,0,0,0,0,2,0,196,y0
1,29.67,0.75,1,8,4,0.04,0,0,0,0,2,240,1,y0
1,33.67,2.165,2,8,4,1.5,0,0,0,0,3,120,1,y0
1,32.42,3,2,2,4,0.165,0,0,0,1,2,120,1,y0
1,28.58,3.625,2,6,4,0.25,0,0,0,1,2,100,1,y0
0,16.33,0.21,2,6,4,0.125,0,0,0,0,2,200,2,y0
0,42.25,1.75,1,8,4,0,0,0,0,1,2,150,2,y0
1,34.25,1.75,2,9,5,0.25,1,0,0,1,2,163,1,y0
1,24.58,12.5,2,9,4,0.875,1,0,0,1,2,260,1,y0
1,22.25,9,2,6,4,0.085,0,0,0,0,2,0,1,y0
1,21.5,11.5,2,3,4,0.5,1,0,0,1,2,100,69,y0
1,18.58,5.71,2,2,4,0.54,0,0,0,0,2,120,1,y0
1,27.83,1,1,2,8,3,0,0,0,0,2,176,538,y0
0,20.75,9.54,2,3,4,0.04,0,0,0,0,2,200,1001,y0
1,30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,1,y0
0,23.58,11.5,1,4,8,3,0,0,0,1,2,20,17,y0
0,22.67,7,2,8,4,0.165,0,0,0,0,2,160,1,y0
0,26.17,2,2,5,3,0,0,0,0,1,2,276,2,y0
1,26.75,4.5,1,8,5,2.5,0,0,0,0,2,200,1211,y0
1,44.25,0.5,2,7,4,10.75,1,0,0,0,1,400,1,y0
1,37.17,4,2,8,5,5,1,0,0,1,1,280,1,y0
1,26.67,14.585,2,3,5,0,0,0,0,1,2,178,1,y0
1,18.42,10.415,1,6,4,0.125,1,0,0,0,2,120,376,y0
1,37.5,1.75,1,8,5,0.25,1,0,0,1,2,164,401,y0
0,69.5,6,2,1,1,0,0,0,0,0,1,0,1,y0
1,19,1.75,1,8,4,2.335,0,0,0,1,2,112,7,y0
0,56.83,4.25,1,1,1,5,0,0,0,1,2,0,5,y0
1,23.42,1,2,8,4,0.5,0,0,0,1,1,280,1,y0
1,31.08,1.5,1,9,4,0.04,0,0,0,0,1,160,1,y0
1,16.08,0.75,2,8,4,1.75,1,1,5,1,2,352,691,y1
1,42,9.79,2,14,8,7.96,1,1,8,0,2,0,1,y1
0,20.08,0.125,2,11,4,1,0,1,1,0,2,240,769,y1
0,26.08,8.665,2,6,4,1.415,1,0,0,0,2,160,151,y1
1,34.25,3,2,13,8,7.415,1,0,0,1,2,0,1,y1
1,22.08,11,2,13,4,0.665,1,0,0,0,2,100,1,y1
0,23.42,0.79,1,11,4,1.5,1,1,2,1,2,80,401,y1
1,20.5,10,1,8,4,2.5,1,0,0,0,1,40,1,y1
1,22.67,1.585,1,9,4,3.085,1,1,6,0,2,80,1,y1
1,25.08,1.71,2,14,4,1.665,1,1,1,1,2,395,21,y1
1,27.83,1.5,2,9,4,2,1,1,11,1,2,434,36,y1
1,34.08,0.08,1,7,5,0.04,1,1,1,1,2,280,2001,y1
1,25.17,3.5,2,13,4,0.625,1,1,7,0,2,0,7060,y1
1,20.42,7,2,8,4,1.625,1,1,3,0,2,200,1392,y1
1,39.92,0.54,1,6,4,0.5,1,1,3,0,2,200,1001,y1
1,48.25,25.085,2,9,4,1.75,1,1,3,0,2,120,15,y1
0,32.33,0.54,2,13,4,0.04,1,0,0,0,2,440,11178,y1
0,19.17,8.585,2,13,8,0.75,1,1,7,0,2,96,1,y1
1,28,2,2,4,8,4.165,1,1,2,1,2,181,1,y1
0,25.75,0.5,2,8,8,0.875,1,0,0,1,2,491,1,y1
0,24.5,12.75,2,8,5,4.75,1,1,2,0,2,73,445,y1
1,36.75,0.125,1,8,4,1.5,0,0,0,1,2,232,114,y1
1,52.5,6.5,2,4,4,6.29,1,1,15,0,2,0,11203,y1
0,22.92,11.585,2,13,4,0.04,1,0,0,0,2,80,1350,y1
1,26.67,2.71,1,13,4,5.25,1,1,1,0,2,211,1,y1
0,24.75,12.5,2,6,4,1.5,1,1,12,1,2,120,568,y1
1,21.33,10.5,2,8,4,3,1,0,0,1,2,0,1,y1
0,44.33,0,2,8,4,2.5,1,0,0,0,2,0,1,y1
1,25,11.25,2,8,4,2.5,1,1,17,0,2,200,1209,y1
0,58.67,4.46,2,11,8,3.04,1,1,6,0,2,43,561,y1
1,31.33,19.5,2,8,4,7,1,1,16,0,2,0,5001,y1
1,23.75,12,2,8,4,2.085,0,0,0,0,1,80,1,y0
1,43.17,2.25,2,3,5,0.75,1,0,0,0,2,560,1,y0
0,22.5,11,1,11,4,3,1,0,0,1,2,268,1,y0
0,33.25,3,1,6,4,2,0,0,0,0,2,180,1,y0
1,74.83,19,1,1,1,0.04,0,1,2,0,2,0,352,y0
1,43.25,25.21,2,11,8,0.21,1,1,1,0,2,760,91,y0
0,24.33,2.5,1,3,5,4.5,0,0,0,0,2,200,457,y0
0,29.5,2,1,10,8,2,0,0,0,0,2,256,18,y0
1,24.08,0.875,2,7,4,0.085,0,1,4,0,2,254,1951,y0
1,24.58,1.25,2,8,4,0.25,0,0,0,0,2,110,1,y0
1,25.25,1,2,6,4,0.5,0,0,0,0,2,200,1,y0
1,16.25,0.835,2,7,4,0.085,1,0,0,0,1,200,1,y0
0,49,1.5,2,5,3,0,1,0,0,1,2,100,28,y0
1,62.5,12.75,1,8,8,5,1,0,0,0,2,112,1,y0
0,38.58,5,2,13,4,13.5,1,0,0,1,2,980,1,y0
1,18.25,0.165,2,2,4,0.25,0,0,0,1,1,280,1,y0
1,25.67,0.29,1,8,4,1.5,0,0,0,1,2,160,1,y0
1,19.17,4,1,3,4,1,0,0,0,1,2,360,1001,y0
1,27.42,12.5,2,6,5,0.25,0,0,0,1,2,720,1,y0
1,30.58,2.71,1,7,4,0.125,0,0,0,1,1,80,1,y0
1,31.57,5,1,6,4,8.5,1,0,0,0,2,0,1,y0
0,18.58,10,2,2,4,0.415,0,0,0,0,2,80,43,y0
1,23.5,3.165,1,4,4,0.415,0,1,1,1,2,280,81,y0
0,37.33,2.5,2,3,8,0.21,0,0,0,0,2,260,247,y0
1,22.25,0.46,2,4,4,0.125,0,0,0,1,2,280,56,y0
1,23.42,0.585,2,8,8,0.085,1,0,0,0,2,180,1,y0
0,40.33,8.125,1,4,4,0.165,0,1,2,0,2,184,19,y0
1,20.42,0,2,8,4,0,0,0,0,0,3,184,1,y0
1,39.92,5,2,3,5,0.21,0,0,0,0,2,550,1,y0
0,20.42,10.5,1,14,8,0,0,0,0,1,2,154,33,y0
1,33.58,0.335,1,13,4,0.085,0,0,0,0,2,180,1,y0
1,29.58,4.75,2,7,4,2,0,1,1,1,2,460,69,y0
1,20,7,2,8,4,0.5,0,0,0,0,2,0,1,y0
1,27.75,1.29,2,4,8,0.25,0,0,0,1,1,140,1,y0
1,27.25,0.625,2,6,4,0.455,1,0,0,1,2,200,1,y0
0,16.08,0.335,2,1,1,0,0,1,1,0,2,160,127,y0
1,22.08,2.335,2,4,4,0.75,0,0,0,0,2,180,1,y0
1,52.33,1.375,1,8,8,9.46,1,0,0,1,2,200,101,y0
1,23.25,1,2,8,4,0.835,1,0,0,0,1,300,1,y1
1,35.17,4.5,2,14,8,5.75,0,0,0,1,1,711,1,y1
0,20.83,3,2,6,4,0.04,1,0,0,0,2,100,1,y1
1,32.67,5.5,2,11,8,5.5,1,1,12,1,2,408,1001,y1
0,23.5,9,2,11,4,8.5,1,1,5,1,2,120,1,y1
0,19.67,0.21,2,11,8,0.29,1,1,11,0,2,80,100,y1
1,44,2,2,7,4,1.75,1,1,2,1,2,0,16,y1
1,30.17,6.5,2,13,4,3.125,1,1,8,0,2,330,1201,y1
1,32,1.75,1,10,8,0.04,1,0,0,1,2,393,1,y1
1,21.92,0.54,1,14,4,0.04,1,1,1,1,2,840,60,y1
0,41.33,1,2,3,5,2.25,1,0,0,1,2,0,301,y1
1,24.42,12.335,2,11,8,1.585,1,0,0,1,2,120,1,y1
1,22.33,11,2,9,4,2,1,1,1,0,2,80,279,y1
1,29.25,14.79,2,6,4,5.04,1,1,5,1,2,168,1,y1
0,71.58,0,2,8,4,0,0,0,0,0,3,184,1,y1
1,29.92,1.835,2,8,8,4.335,1,0,0,0,2,260,201,y1
1,37.58,0,2,8,4,0,0,0,0,0,3,184,1,y1
0,35.42,12,2,11,8,14,1,1,8,0,2,0,6591,y1
1,23.33,11.625,1,9,4,0.835,1,0,0,1,2,160,301,y1
1,28.92,15,2,8,8,5.335,1,1,11,0,2,0,2284,y1
1,18.08,5.5,2,4,4,0.5,1,0,0,0,2,80,1,y1
1,48.17,7.625,2,9,8,15.5,1,1,12,0,2,0,791,y1
1,33.17,1,2,14,4,0.75,1,1,7,1,2,340,4072,y1
1,34.75,15,2,12,7,5.375,1,1,9,1,2,0,135,y1
1,47.67,0.29,2,8,5,15,1,1,20,0,2,0,15001,y1
0,23,11.75,2,14,8,0.5,1,1,2,1,2,300,552,y1
0,35.75,0.915,2,6,4,0.75,1,1,4,0,2,0,1584,y1
1,41.75,0.96,2,14,4,2.5,1,0,0,0,2,510,601,y1
1,49.5,7.585,2,3,5,7.585,1,1,15,1,2,0,5001,y1
0,20.33,10,2,8,8,1,1,1,4,0,2,50,1466,y1
0,46.67,0.46,2,13,8,0.415,1,1,11,1,2,440,7,y1
0,19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,1,y0
1,25.58,0.335,2,4,8,3.5,0,0,0,1,2,340,1,y0
1,31.83,0.04,1,7,4,0.04,0,0,0,0,2,0,1,y0
1,36.17,0.42,1,9,4,0.29,0,0,0,1,2,309,3,y0
0,55.75,7.08,2,4,8,6.75,1,1,3,1,2,100,51,y0
1,22.75,11.5,2,3,4,0.415,0,0,0,0,2,0,1,y0
1,31.57,4,1,3,4,0.085,0,0,0,1,2,411,1,y0
1,23,0.625,1,6,4,0.125,1,0,0,0,2,180,2,y0
1,69.17,9,2,1,1,4,0,1,1,0,2,70,7,y0
0,48.17,1.335,2,3,7,0.335,0,0,0,0,2,0,121,y0
1,25.67,3.25,2,8,8,2.29,0,1,1,1,2,416,22,y0
1,31.57,0.625,2,4,4,0.25,0,0,0,0,2,380,2011,y0
1,19.33,10.915,2,8,5,0.585,0,1,2,1,2,200,8,y0
1,39.17,2.5,1,3,8,10,0,0,0,1,1,200,1,y0
0,21.92,11.665,2,4,8,0.085,0,0,0,0,2,320,6,y0
0,26.5,2.71,1,8,4,0.085,0,0,0,0,1,80,1,y0
1,49.58,19,2,1,1,0,1,1,1,0,2,94,1,y0
1,42.75,4.085,2,6,4,0.04,0,0,0,0,2,108,101,y0
1,23,0.75,2,7,4,0.5,0,0,0,1,1,320,1,y0
0,28.58,3.54,2,3,5,0.5,1,0,0,1,2,171,1,y0
0,25,11,1,6,4,4.5,1,0,0,0,2,120,1,y0
0,29.58,1.75,1,4,4,1.25,0,0,0,1,2,280,1,y0
1,29.25,13,2,2,8,0.5,0,0,0,0,2,228,1,y0
0,28.17,0.585,2,6,4,0.04,0,0,0,0,2,260,1005,y0
1,21.08,4.125,1,3,8,0.04,0,0,0,0,2,140,101,y0
0,17.67,0,1,5,1,0,0,0,0,0,2,86,1,y0
1,18.67,5,2,11,4,0.375,1,1,2,0,2,0,39,y0
1,34.42,1.335,2,3,5,0.125,0,0,0,1,2,440,4501,y0
1,34,5.5,1,8,4,1.5,0,0,0,1,2,60,1,y0
1,24.75,0.54,2,7,4,1,0,0,0,1,2,120,2,y0
0,22.67,0.79,2,3,4,0.085,0,0,0,0,2,144,1,y0
0,32.25,1.5,2,8,4,0.25,0,0,0,1,2,372,123,y0
1,22.92,0.17,2,7,4,0.085,0,0,0,0,1,0,1,y0
1,58.58,2.71,2,8,4,2.415,0,0,0,1,2,320,1,y0
0,52.17,0,1,1,1,0,0,0,0,0,2,0,1,y0
0,21.08,5,1,1,1,0,0,0,0,0,2,0,1,y0
1,38.42,0.705,2,8,4,0.375,0,1,2,0,2,225,501,y0
1,27.83,4,1,3,8,5.75,1,1,2,1,2,75,1,y0
1,43,0.29,1,13,8,1.75,1,1,8,0,2,100,376,y1
1,56.42,28,1,8,4,28.5,1,1,40,0,2,0,16,y1
