X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y
0.72,-0.41,1.29,1.11,0.87,1.36,4.44,3.79,3.19,5.23,4.89,2.46,2.85,2.62,-0.59,0.73,-0.16,0.51,-1.24,1.54,-0.82,y1
0.24,1.61,0.62,3.42,2.35,4.76,4.85,4.39,3.33,3.91,2.81,2.67,1.62,-0.28,0.72,0.86,0.95,-1.28,2.22,0.03,-0.68,y1
0.56,1.26,0.45,1.04,0.54,4.16,4.66,3.93,3.92,3.6,2.69,0.96,1.7,2.13,1.94,0.58,-0.17,0.94,-0.3,0.52,-1.74,y1
0.54,0.26,2.76,0.14,1.69,1.32,2.85,3.55,3.26,2.64,5.4,3.82,5.12,3.67,2.1,0.62,0.53,0.09,0.19,-2.25,-0.41,y1
0.81,1.76,-0.1,2.31,2.65,3.93,5.5,4.23,6.37,4.36,1.92,1.09,1.95,1.21,-0.65,-0.99,-0.28,0.15,0.17,0.37,0.44,y1
0.55,2.53,2.52,1.73,4.94,4.99,6.82,5.52,2.84,3.3,0.83,1.59,-1.45,0.22,1.75,0.02,-0.87,2.78,-0.26,-0.83,-0.52,y1
-0.19,-1.21,-0.43,1.92,1.13,2.14,2.23,2.33,3.13,4.47,6.44,2.09,4.46,3.17,1.08,2.03,1.74,0.51,-2.56,0.85,0.76,y1
-0.12,0.86,0.51,1.26,0.79,2.69,3.08,3.57,6.49,3.06,4.46,3.04,0.82,1.46,0.12,1.77,0.41,-0.69,1.47,2.66,-1.49,y1
-0.14,-0.04,1.37,3.77,0.32,2.68,4.6,2.88,4.91,3.12,2.87,1.89,-0.4,0.38,-1.33,0.77,0.62,-1.03,-0.13,-1.86,0.26,y1
1.28,-0.08,-0.84,-0.16,0.15,1.11,2.52,3,4.74,4.88,6.88,5.01,4.75,2.45,0.92,2.48,1.23,0.27,-0.18,0.43,-0.08,y1
0.54,-0.63,2.71,1.63,0.9,1.07,1.66,3.2,3.86,4.86,3.65,4.23,1.51,2.67,0.59,-0.2,0.88,0.34,1.64,0.89,-1.37,y1
0.94,0.02,2.44,1.59,2.21,4.04,4.09,2.99,5.02,3.03,3.8,2.63,0.62,0.23,1.64,0.8,-0.2,-1,0.53,-0.91,-0.67,y1
-0.84,1.34,3.06,2.69,1.99,3.56,3.83,5.06,4.41,3.87,2.35,2.07,2.01,2.94,2.59,0.44,-0.29,0.32,-0.98,0.44,0.32,y1
-0.59,0.11,-0.9,2.62,5.15,2.82,6.7,4.69,5.16,3.29,3.26,1.24,1.65,1.99,-1.25,2.59,0.7,1.97,0.56,-0.51,1.9,y1
0.32,0.13,1.11,0.88,-0.87,3.93,3.19,4.35,6.21,4.48,3.87,2.05,3.44,1.31,1.16,0.14,0.38,1.55,-0.54,-1.59,0.32,y1
-0.22,-0.87,1.44,0.81,-0.45,2.48,4,3.23,3.57,3.83,5.04,2.08,4.22,2.75,1.04,0.28,0.41,-0.08,0.32,1.77,-0.12,y1
0.58,1.63,1.57,1.32,5.27,5.29,4.69,3.86,3.48,2.37,1.2,2.49,1.45,0.65,2.1,0.19,-0.49,0.46,0.69,1.06,-0.79,y1
0.51,-0.07,0.01,1.81,1.15,2.36,4.4,3.76,4.61,4.19,5.3,3.43,3.91,3.07,1.76,-0.23,-1.6,-1,-0.18,-0.47,0.84,y1
1.33,1.2,0.45,-0.66,0.52,1.48,4.02,3.09,2.72,5.49,5.21,3,2.39,3.28,2.64,0.09,-0.64,-0.69,0.71,-1.34,-0.27,y1
0.63,1.64,0.52,3.53,1.63,3.74,3.9,3.89,3.74,3.25,4.43,4.04,2.05,0.55,1.49,1.23,1.02,-0.37,0.13,-0.49,-1.68,y1
-0.28,0.33,0.63,0.81,2.49,2.75,2.03,3.51,3.37,4.9,5.47,2.38,3.08,2.28,1.57,0.05,1.07,-0.04,-1.5,-1.16,-1.19,y1
0.08,-0.49,0.71,1.11,-0.23,3.33,2.11,3.32,4.67,4.24,5.55,4.19,2.84,-0.34,1.86,0.66,-0.24,0.5,-0.83,-0.43,-0.13,y1
0.14,-1.56,0.8,1.75,4.02,2.65,7,5.59,5.6,4.53,1.47,-1.45,0.09,0.33,1.14,1.56,-1.05,-0.52,-0.85,-1.45,0.43,y1
-0.05,-0.54,0.71,2.07,-0.31,2.57,1.59,3.08,5.35,6.45,6.12,3.72,5.62,4.28,0.34,0.67,1.47,-1.95,1.54,-0.29,-0.01,y1
0.27,0.25,0.97,1.27,2.46,6.47,4.48,4.69,3,3.82,3.59,0.35,2.06,1.65,0.46,0.27,0.8,0.16,-1.42,-0.75,-0.25,y1
-0.45,-0.12,-0.64,0.07,-0.07,0.36,2.42,4.08,6.55,5.52,5.96,5.72,3.87,4.81,1.03,-0.66,-0.4,-0.27,0.75,-0.11,-0.63,y1
1.3,0.79,3.59,3.69,4.51,7,5.16,5.9,3.9,2.54,3.62,0.03,1.43,3.14,-1.22,-0.26,-0.44,-1.5,-0.01,1.32,1.58,y1
-0.51,-0.48,2.4,1.5,3.82,5.35,5.26,4.23,5.03,3.36,3.3,1.23,2.93,0.94,0.21,-0.08,-0.75,-3.15,-0.09,-1.02,0.78,y1
-2.21,0.01,0.46,-0.41,-0.52,1.39,2.62,2.74,4.98,3.2,4.13,4.16,2.18,4.23,1.95,1.92,0.19,-1.04,0.81,0,-0.65,y1
-0.78,1.72,2.96,1.93,4.84,3.02,4.48,4.12,2.75,3.6,3.95,1.35,1.54,1.08,1.8,3.06,-0.21,-0.93,-0.25,0.36,0.84,y1
-0.31,1.25,1.16,2.48,2.57,2.27,2.94,2.17,3.55,4.84,4.02,3.2,3.19,1.08,1.7,0.68,-1.97,0.61,-1.28,-0.61,2.14,y1
1.84,1.13,0.72,2.06,1.25,1.18,2.66,3.62,2.74,3.5,5.72,4.73,2.79,2.82,0.78,3.16,-1.99,1.8,1.76,-1.25,0.89,y1
1.09,-0.42,0.06,0.56,-1.69,1.24,2.06,5.1,5.05,6.11,4.36,5.1,3.59,2.8,2.84,1.54,0.18,-1.52,1.26,0.32,-0.34,y1
1.27,-0.36,-0.15,3.61,3.1,3.13,6.5,2.48,2.65,3.96,3.37,3.68,0.59,0.39,0.33,1.08,0.52,-0.29,0.08,-1.59,-2.1,y1
-0.57,1.14,-1.48,2.26,-0.1,3.29,4.23,2.75,4.02,3.51,3.04,2.04,2.37,2.51,0.38,-0.45,0.49,-0.35,1.91,-0.78,-1.16,y1
-0.78,0.96,0.14,1.26,0.26,4.33,0.74,4.05,4.58,3.1,4.39,4.44,3.4,4.07,1.88,1.21,0.68,-0.73,-0.66,0.55,-0.45,y1
1.16,-0.29,0.7,0.67,1.22,3.65,3.73,4.88,4.22,3.33,4.84,4.36,3.2,0.82,2.85,0.09,-0.21,-0.11,-0.41,0.16,1.1,y1
0.96,3.32,1.94,2.28,2.98,4.46,6.14,3.83,4.4,4.49,2.31,3.83,1.03,0.14,0.59,-0.65,0.71,-0.73,1.1,-0.58,-0.59,y1
0.65,0.03,0.62,-1.25,-1.09,1.05,3.39,4.64,4.62,4.12,6.16,5.41,3.95,4.07,1.73,-0.84,-1.67,-1.09,-0.04,-0.63,-0.98,y1
1.24,1.38,2.39,2.49,3.96,3.53,6.01,5.02,4.27,4.18,2.8,2.04,2.45,1.12,0.44,1.02,-0.02,-2.37,1.54,0.31,-1.43,y1
0.04,0.16,4.35,2.22,3.61,4.8,5.53,4.22,3.99,0.87,2.62,1.57,0,-0.7,0.4,1,0,0.08,0.47,0.35,-0.13,y1
-0.9,1.58,-0.12,2.17,4.32,5.56,6.41,5.12,3.81,4.18,2.88,2.12,1.12,-0.6,-0.09,1.4,-1.42,0.53,-1.46,-1.01,-1.73,y1
2.49,-0.1,1.53,1.29,0.2,2.62,1.83,3.67,4.44,5.51,6.99,4.24,3.78,3.6,1.07,-0.42,-0.5,-1.36,-1.44,1.63,-0.03,y1
0.27,-0.17,2.76,2.42,3.91,4.63,6.07,2.97,2.92,2.8,2.92,0.87,1.26,0.61,-0.47,-0.68,-2.42,-0.86,-0.08,-0.33,0.05,y1
1.49,0.46,1.57,1.03,0.95,0.58,3.51,3.61,5.08,3.9,5.37,3.28,4.06,2.4,1.16,-1.72,-0.79,-0.54,-1.34,-0.8,0.91,y1
-2.95,-0.11,-0.15,-0.6,0.59,3.37,2.63,2.77,4.5,4.01,4.02,4.8,3.93,2.21,2.3,0.11,1.16,0.39,0.73,-0.24,-1.68,y1
-1.04,-1.26,0.26,-1.77,0.53,2.95,2.76,4.86,3.83,4.79,3.52,4.1,1.85,2.53,-0.81,2.57,0.2,1.09,-0.1,-0.86,-1.16,y1
0.2,-0.27,1.14,-0.07,0.34,2.15,4.19,3.35,2.45,4.21,4.75,5.59,3.09,0.91,2.85,0.12,1.14,-0.47,0.08,0.74,-2.16,y1
0.87,0.07,1.32,-0.05,0.95,0.35,2.22,6.05,3,6.16,5.67,5.63,2.59,3.02,1.34,1.88,0.76,-1.41,1.58,1.32,-0.91,y1
-1.54,0.42,1.02,2.64,3.71,4.36,5.61,3.21,3.17,5.03,2.9,3,1.38,2.48,1.2,1.22,-0.64,-0.39,0.96,0.07,0.57,y1
-1.16,2.83,0.1,0.69,0.53,2.35,3.53,3.05,5.88,3.87,4.85,3.11,2.56,4.01,1.79,0.83,-0.23,0.54,0.39,0.11,0.66,y1
-0.18,0.47,1.75,1.46,4.04,4.81,2.85,4.35,4.84,2.74,2.68,1.97,1.43,-0.31,-0.05,-0.3,-0.66,-0.78,-0.15,-0.8,-0.05,y1
-0.28,1.52,1.96,1.12,0.06,1.39,3.82,2.74,4.58,4.23,7.46,3.46,2.26,2.73,1.04,0.87,2.13,2.01,0.7,-1.5,0.19,y1
0.11,0.6,2.07,1.74,3.79,4.81,4.67,4.98,5.01,3.31,0.85,2.27,-0.16,0.56,1.5,-0.12,-1.33,0.94,-0.99,0.11,1.4,y1
0.04,1.59,2.1,2.39,5.42,5.41,3.49,3.84,5.53,0.9,4.15,0.9,1.12,0.56,0.5,0.55,0.56,0.22,-0.9,-0.99,-0.57,y1
-0.95,2.4,1.65,3.26,4.99,5.17,4.48,5.56,5.26,3.32,4.74,2.45,-0.54,-1.8,-0.75,0.59,0.49,0.49,0.16,-2.24,-2.05,y1
0.2,1.42,1.81,2.44,2.91,5.6,8.58,3.11,5.11,3.33,2.9,1.27,0.1,2.26,0.51,-1.56,-0.43,0.15,-0.45,1.52,1.55,y1
0.11,1.81,1.63,0.48,0.38,2.38,1.99,4.01,4.85,5.27,6.16,3.25,2.61,3.38,0.25,0.49,-0.02,-0.76,-0.73,1.78,0.29,y1
0.62,0.55,0.15,-0.47,1.32,2.82,3.98,4.48,3.2,4.62,4.33,1.88,1.4,2.48,0.06,-1.51,0.09,0.55,0.59,-0.11,-0.62,y1
-1.77,-0.09,1.02,4.04,4.34,4.28,7.06,4.46,4.24,2.56,2.34,1.55,2.85,1.59,-1.56,-0.3,0.26,-1.72,1.24,0.88,1.16,y1
-0.41,1.48,1.83,3.34,2.29,1.52,3.99,4.97,3.42,5.05,4.72,1.09,1.21,2.17,1.3,2.04,-1.7,1.63,-0.26,-1.16,-0.05,y1
0.77,0.3,0.48,3.89,1.83,1.89,3.18,3.02,2.88,3.33,6.07,4.07,4.14,0.54,0.91,0.83,0.35,-0.25,-1.09,-0.09,1.91,y1
-1.49,0.16,2.73,3.81,3.61,4.14,6.25,6.85,2.77,1.7,2.67,1.61,-0.62,-1.57,-0.87,0.07,1.4,0.67,-0.17,-1.68,-2.06,y1
0.07,0.06,0.83,2.18,4.38,5.63,6.98,4.79,4.33,3.67,2.59,0.47,-0.34,0.71,1.26,0.22,-0.68,-1.36,0.15,-1.53,0.5,y1
-0.22,2.38,1.71,1.47,4.12,3.21,3.44,3.45,5.42,3.79,3.5,1.58,0.76,0.18,-0.68,0.05,-0.31,-0.53,1.46,0.02,0.46,y1
-1.17,-0.45,-0.07,2.47,0.25,3.84,6.2,1.88,3.66,3.06,3.96,2.34,1.7,1.4,-0.01,-0.18,1.03,-1.05,-0.05,0.8,2.25,y1
-0.07,1.33,1.14,0.3,1.12,2.85,0.89,2.29,3.5,5.69,5.57,5.87,3.12,0.92,1.26,2.27,1.16,-0.9,1.06,-0.28,1.15,y1
0.21,0.8,3.5,3.24,5.03,5.77,6.9,6.36,6.17,2.26,2.38,0.51,-0.14,-0.43,-0.35,0.74,0.34,-0.37,0.77,-1.31,-1.28,y1
-0.03,-1.78,0.68,1.7,-0.15,1.85,1.94,3.84,3.86,5.6,3.34,2.97,4.11,1.56,0.35,2.38,-0.81,-0.29,0.09,0.96,-2.48,y1
-0.63,0.12,2.77,3.1,1.89,3.02,5.29,3.35,2.61,5.11,1.84,3.8,0.97,-1.11,-0.52,-0.37,-2.33,-0.76,-0.39,0.29,-0.17,y1
0.82,-0.76,2.06,0.83,1.09,1.68,3.63,3.94,3.55,4.59,5.79,3.82,3.79,2.41,-0.5,0.53,-1.03,-0.28,0.02,1.54,-0.19,y1
0.07,2.29,1.05,3.53,2.64,4.42,5.07,5.06,2.54,4.4,3.81,0.99,1.5,1.49,-0.33,0.06,0.03,-1,-0.46,-0.31,2.26,y1
0.29,-1.32,0.28,1.71,0.17,2.39,3.92,1.79,3.53,6.37,4.82,3.79,0.98,2.35,1.68,1.07,1.4,-1.4,0.28,0,1.38,y1
0.39,2.67,0.38,2.08,3.48,2.2,3.79,4.28,3.86,6,3.38,5.3,2.89,1.02,1.18,1.89,-1.76,0.46,0.4,0.51,-0.25,y1
-2.29,2.03,0.95,1.22,2.23,2.95,4.82,3.91,4.14,3.4,3.01,3.69,2.77,1.04,1.31,-0.75,0.27,-0.44,-0.35,0.13,0.32,y1
-0.16,1.67,-1.36,2.23,1.81,2.86,3.75,3.53,4.8,5.65,4.25,4.4,1.75,0.95,2.09,2.43,0.08,-0.66,0.37,-1.76,-2.18,y1
1.29,0.13,0.97,2.67,2.62,4.04,4.18,4.59,3.69,2.86,3.48,2.03,1.93,2.62,1.23,1.89,-0.21,1.55,-0.6,1.37,0.46,y1
-2.03,0.35,2.13,2.05,0.18,2.64,2.82,3.81,3.14,4.55,4.34,4.46,2.89,2.99,1.33,2.36,0.8,-1.27,0.6,0.59,-2.23,y1
0.6,0.39,-0.37,2.81,1.33,3.19,5.27,5,3.54,4.3,2.27,2.12,-1.05,1.56,-1.6,0.57,-0.97,1.22,-0.37,-0.27,-0.1,y1
0.36,2.22,1.88,3.99,2.79,5.01,5.13,5.23,3.97,2.69,1.92,0.43,0.01,0.22,0.07,-0.94,-0.17,-1.17,0.57,0.21,-0.58,y1
0.84,-0.74,0.58,3.06,-0.59,4.18,2.34,2.65,4.08,5.24,2.87,4.2,3.62,2.03,0.66,2.32,1.92,1.34,0.47,0.91,0.17,y1
0.09,1.54,3.66,-1.3,2.05,3.84,3.43,7.31,2.72,2.11,0.49,2.8,1.3,2.77,1.28,0.38,0.22,-0.73,-0.71,-0.11,0.39,y1
0.96,0.29,-0.19,1.14,-0.09,1.36,3.08,1.5,5.23,5.45,4.98,4.77,3.99,1.22,2.31,0.65,0.1,-0.17,-2.68,-0.42,0.83,y1
-1.25,0.61,-0.7,2.64,2.89,4.68,4.67,2.62,4.68,2.83,0.82,2.71,-0.99,-0.88,-0.47,-0.69,-1.71,0.03,0.54,0.53,1.64,y1
-1.33,1.02,0.16,1.34,2.39,1.75,5.03,4.75,2.81,4.7,3.57,4.99,1.04,2.15,-1.45,-0.29,0.26,1.94,1.01,-1.99,-0.65,y1
-1.45,-0.21,1.34,2.69,2.04,4.63,7.07,4.58,3.22,3.58,4.31,3.51,1.16,1.33,-0.07,0.26,-0.97,0.83,-0.92,0.87,-0.2,y1
0.47,0.28,0.93,0.23,-0.82,0.13,1.19,2.74,4.39,5.44,5.5,5.67,2.65,1.8,1.47,1.06,1.15,-0.59,-0.81,-3.11,0.26,y1
0.95,-0.79,1.64,2.23,4.72,2.83,5.75,4.06,3.47,4.63,2.89,3.08,0.33,0.16,0.67,0.2,-0.34,-1.11,1.58,0.68,-0.65,y1
-0.99,0.12,1.65,0.71,2.34,2.94,4.28,2.66,3.15,5.46,5.22,3.33,3.93,0.41,-0.23,0.62,0.78,-0.16,-2.08,-1.2,-0.37,y1
0.17,1.23,1.29,0.89,0.47,4.42,3.73,3.47,4.72,3.68,2.56,5.27,2.1,2.71,-0.1,0.51,-1.61,1.46,-0.51,0.05,-0.45,y1
0.54,-0.36,-0.3,0.22,0.2,0.65,1.02,3.66,5.21,2.57,5.84,4.94,1.98,2.49,1.73,0.36,0.9,-1.32,0.07,-0.11,-1.23,y1
0.47,-1.69,0.67,0.25,0.63,2,2.6,4.17,2.82,4.06,6.74,4.03,3.26,2.73,1.36,2.49,-0.22,-0.78,-0.92,0.87,1.68,y1
1.87,-1.8,1.77,1.01,1.74,1.21,2.3,4.13,2.85,3.71,4.55,2.57,3.94,0.83,1.82,-0.19,0.69,1.36,-0.57,-1.01,-1.14,y1
0.86,0.79,0.52,2.14,-0.32,0.95,3.26,2.83,3.57,3.61,3.79,3.66,2.61,0.59,0.93,2.97,1.29,-0.51,-0.05,0.12,-1.03,y1
-0.29,-2.21,0.7,1.92,-0.42,2.13,2.95,3.28,4.81,4.53,4.51,3.35,3.86,1.35,0.63,1.17,-0.51,1.66,-0.41,0.02,0.37,y1
-1.43,0.85,0.55,3.07,1.46,2.14,4.8,5.04,3.13,4.19,4.75,2.49,1.13,-0.52,1.5,1.26,1.29,0.91,-1.54,1.3,-0.36,y1
-0.26,2.13,-0.27,-0.57,0.65,2.42,3.35,5.24,2.96,3.98,2.92,2.76,3.14,1.86,-0.35,2.13,-1.13,0.83,-0.64,1.01,-0.57,y1
0.99,1.59,2.47,3.52,4.13,3.65,5.53,3.6,3.74,3.39,1.94,0.04,1.2,-0.04,0.53,0.68,-0.92,-0.3,1.25,-3.57,-1.4,y1
1.29,-0.45,1.56,3.21,2.59,2.17,5.53,4.63,4.89,4.64,4.08,4.77,2.43,2.87,0.58,0.38,-0.56,-1.5,-1.13,-1.22,-0.08,y1
-0.04,0.4,-0.7,-0.06,0.3,1.82,3.22,4.61,5.59,3.4,3.47,4.35,1.89,2.5,1.73,0.59,-0.73,-1.22,-1.11,0.88,0.5,y1
0.74,1.06,2.36,2.22,3.59,2.86,4.25,4.57,4.34,2.29,3.31,3.97,0.78,0.2,0.35,-0.02,-1.39,0.17,-1.32,0.99,-1.54,y1
-0.15,2.14,2.24,2.05,3.22,6.64,3.96,6.34,5.18,3.21,2.57,2,-0.96,-0.44,2.24,0.27,-2.85,0.39,-0.03,0.56,-0.28,y1
-1.25,1.1,1.89,1.34,0.71,1.37,3.26,2.54,3.61,5.15,6.58,3.68,4.32,3.61,1.01,0.77,1.07,1.87,-0.34,0.79,1.14,y1
-0.51,1.95,0.39,1.03,2.71,4.95,4.83,5.54,5.99,6.01,2.07,3.23,-0.28,0.48,-0.03,1.28,0.13,-0.76,-0.21,1.39,-1.17,y1
-1.32,2.23,1.85,2.03,3.06,4.86,3.92,5.17,3.4,4.17,3.73,1.24,0.66,-0.24,-0.11,0.33,1.81,1.02,-1.32,0.59,-2.7,y1
-0.62,-0.75,2.3,1.2,1.06,5.33,5.36,4.38,2.49,5.02,2.24,3.62,0.47,0.44,0.57,1.23,-2.14,-1,0,1.03,-0.48,y1
-1.35,0.55,3.42,2.69,2.23,3.66,4,3.68,3.78,3.88,2.37,1.83,0.67,1.88,-1.48,0.55,-0.19,-1.34,0.81,-0.46,-1.22,y1
0.09,1.53,-0.13,1.09,2.86,1.88,3.78,6.88,3.91,2.5,2.97,4.04,-0.01,1.78,2.41,-0.2,0.39,0.94,-0.44,1.35,-0.63,y1
0.86,1.32,0.5,2.79,4.05,5.4,5.32,5.2,3.56,3.46,3.36,1.9,-0.45,1.52,-0.42,1.25,-1.47,-0.16,1.58,-0.43,-0.91,y1
0.58,1.8,2.34,4.16,5.18,4.54,4.32,4.19,2.28,3.72,3.15,1.59,0.53,-0.98,-0.93,0.22,-1.38,-1.1,-0.34,-0.5,-0.56,y1
-1.09,-0.06,1.66,2.85,1.66,1.35,4.5,3.19,3.88,4.9,3.81,3.7,3.45,4.4,1.17,1.68,0.2,-2.58,-0.85,1.38,0.57,y1
-0.13,0.24,-0.06,1.49,1.31,1.65,5.75,6.48,5.98,2.7,4.07,2.89,1.86,2.08,1.01,1.49,-0.42,-0.1,0.43,1.55,-1.64,y1
-0.47,-1.1,0.1,1.28,1.19,0.63,2.53,3.67,5.17,3.22,3.93,4.32,2.44,3.54,0.49,-1.64,-0.6,-1.35,1.86,-2.03,-0.48,y1
0.17,-1.12,2.29,-0.14,1.52,1.19,4.35,5.48,5.71,6.17,5.43,6.28,2.87,3.63,1.36,0.42,-1.55,1.64,-0.26,-1.54,0.4,y1
-2.36,0.98,0.72,0.94,2.09,3.69,4.68,1.45,3.27,3.72,3.15,3.16,3.08,0.53,-0.68,0.85,0.51,0.14,-0.11,-1.42,-0.11,y1
0.07,0.63,0.42,4.53,4.19,5.13,6.88,3.41,4.19,3.24,1.54,1.99,-0.64,2.75,1.06,1.25,-1.48,1.8,-1.1,-1.01,0.56,y1
0.55,1.79,1.36,3.26,2.49,3.77,4.66,5.24,3.94,2.76,2.73,2.14,1.32,1.22,2.49,1.74,0.2,0.6,-0.28,0.4,-0.44,y1
-0.1,0.26,-0.3,3.66,2.73,4.33,5.71,4.57,4.22,4.58,1.42,2.37,1.15,-0.23,1.77,1.02,0.65,0.97,-1.38,1.11,0.16,y1
0.45,1.8,1.44,0.06,1.31,-0.25,2.24,2.17,2.83,3.83,5.8,3.25,1.35,1.64,3.53,1.86,-1.23,0.3,-1.34,-0.43,1.48,y1
0.43,0.92,-0.55,1.18,1.6,2.11,3.05,3.09,5.31,4.85,4.06,3.57,2.6,1.14,2.08,-0.23,-0.05,-0.32,0.44,-0.12,-1.47,y1
0.02,1.55,0.62,0.17,0.52,2.84,5.09,2.93,4.21,4.53,6.17,3.2,3.78,1.89,0.94,2.02,0.25,1.01,-0.57,1.19,-0.44,y1
0.34,0.09,0.33,0.76,0.1,4.11,3.33,5.16,4.26,4.8,3.72,3.72,0.82,1.49,0.56,0.9,-2.7,-0.63,2.5,0.18,-2.44,y1
-0.27,1.45,1.34,1.48,3.03,4.05,4.23,3.63,2.98,4.7,3.26,2.43,1.82,1.26,1.2,0.23,-0.24,0.75,-0.75,0.18,-1.13,y1
0.22,-0.35,2.41,1.79,5.32,4.95,5.63,4.35,4.43,2.79,2.13,2.29,-0.8,1.77,1.09,0.5,2.64,-0.28,0.52,-0.88,0.56,y1
-0.2,1.17,0.62,1.7,2.8,2.1,5.77,3.35,5.37,2.48,4.49,1.04,3.03,0.67,1.59,0.32,1.17,0.18,-1.17,-1.41,2.59,y1
0.64,0.79,0.26,0.39,2.25,2.86,2.54,2.26,3.99,1.25,3.01,3.73,2.72,1.32,-0.01,-0.34,0.22,0.9,1.02,-1.28,-0.66,y1
-1.13,-1.11,2.1,0.07,0.95,0.1,3.38,4.31,4.73,6,4.6,4.2,0.73,0.73,1.13,0.61,-0.41,-0.06,-0.33,-1.4,1,y1
0.12,1.58,0.62,0.39,0.31,2.88,2.66,4.93,2.73,2.82,5.29,1.9,1.97,1.44,0.37,-0.1,0.49,1.26,-0.51,0.1,0.18,y1
-0.63,0.96,2.4,1.39,5.25,5.19,6.15,6.65,3.45,4.88,4.24,2.6,-0.65,-1.26,1.06,-0.86,1.1,1,0.37,0.35,-0.97,y1
0.07,0.27,-0.7,-0.07,1.68,0.76,2.65,3.29,3.73,5.09,6.98,4.04,4.33,1.31,0.53,2.46,1.35,0.25,-1.52,1.04,0.27,y1
0.6,2.89,1.5,2.9,4.75,5.62,5.16,5.83,3.92,3.48,3.24,0.66,0.35,-1.65,1.57,-0.39,1.98,-0.37,1.06,0.6,-1.37,y1
